ID (num probes:12422)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
161442_at	0.983698083226349	0.00258821348658135	-3.42318098625707	-3.53902927082071	-1.39368093383442	Pmp22	peripheral myelin protein 22	18858	11 38.99 cM		cell cycle///cell cycle arrest///cell differentiation///myelin assembly///myelination///negative regulation of cell proliferation///negative regulation of neuron projection development	compact myelin///integral component of membrane///membrane///plasma membrane///tight junction		GO:0007049///GO:0007050///GO:0030154///GO:0032288///GO:0042552///GO:0008285///GO:0010977	GO:0043218///GO:0016021///GO:0016020///GO:0005886///GO:0005923
102395_at	0.983698083226349	0.011239958884175	-2.78247090395701	-3.85672813242442	-0.48974362699227	Pmp22	peripheral myelin protein 22	18858	11 38.99 cM		cell cycle///cell cycle arrest///cell differentiation///myelin assembly///myelination///negative regulation of cell proliferation///negative regulation of neuron projection development	compact myelin///integral component of membrane///membrane///plasma membrane///tight junction		GO:0007049///GO:0007050///GO:0030154///GO:0032288///GO:0042552///GO:0008285///GO:0010977	GO:0043218///GO:0016021///GO:0016020///GO:0005886///GO:0005923
94490_at	0.983698083226349	0.0404852443322791	2.18528759290399	-4.14990337368779	0.657810207719915	Cnot8	CCR4-NOT transcription complex, subunit 8	69125	11	3'-5'-exoribonuclease activity///RNA binding///exonuclease activity///hydrolase activity///metal ion binding///nuclease activity///nucleic acid binding///poly(A)-specific ribonuclease activity	RNA phosphodiester bond hydrolysis, exonucleolytic///exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay///gene silencing by RNA///positive regulation of cell proliferation///regulation of transcription, DNA-templated///regulation of translation///transcription, DNA-templated	CCR4-NOT complex///cytoplasm///intracellular///nucleus	GO:0000175///GO:0003723///GO:0004527///GO:0016787///GO:0046872///GO:0004518///GO:0003676///GO:0004535	GO:0090503///GO:0043928///GO:0031047///GO:0008284///GO:0006355///GO:0006417///GO:0006351	GO:0030014///GO:0005737///GO:0005622///GO:0005634
95489_at	0.983698083226349	0.051470575810649	2.06667956118785	-4.20575381246739	0.710289244247043	Flii	flightless I homolog (Drosophila)	14248	11 37.81 cM	actin binding///protein binding	actin cytoskeleton organization///actin filament severing///multicellular organismal development///regulation of transcription, DNA-templated///transcription, DNA-templated	cell junction///cytoplasm///cytoskeleton///microtubule organizing center///nucleus	GO:0003779///GO:0005515	GO:0030036///GO:0051014///GO:0007275///GO:0006355///GO:0006351	GO:0030054///GO:0005737///GO:0005856///GO:0005815///GO:0005634
98459_at	0.983698083226349	0.0561163849211368	2.02328704746853	-4.22587709953313	0.768940080465856	Shmt1	serine hydroxymethyltransferase 1 (soluble)	20425	11	L-allo-threonine aldolase activity///amino acid binding///catalytic activity///glycine hydroxymethyltransferase activity///identical protein binding///protein homodimerization activity///pyridoxal phosphate binding///transferase activity	L-serine catabolic process///L-serine metabolic process///folic acid metabolic process///glycine biosynthetic process///glycine biosynthetic process from serine///glycine metabolic process///one-carbon metabolic process///protein homotetramerization///protein tetramerization///purine nucleobase biosynthetic process	cytoplasm///cytosol///extracellular vesicular exosome///mitochondrion///nucleus	GO:0008732///GO:0016597///GO:0003824///GO:0004372///GO:0042802///GO:0042803///GO:0030170///GO:0016740	GO:0006565///GO:0006563///GO:0046655///GO:0006545///GO:0019264///GO:0006544///GO:0006730///GO:0051289///GO:0051262///GO:0009113	GO:0005737///GO:0005829///GO:0070062///GO:0005739///GO:0005634
100383_at	0.983698083226349	0.0713520773012326	1.90049884178642	-4.2817890450978	0.370893481981941	Rnf112	ring finger protein 112	22671	11 37.96 cM	GTP binding///GTPase activity///metal ion binding///molecular_function///zinc ion binding	positive regulation of cell cycle arrest///positive regulation of glial cell differentiation///positive regulation of neuron differentiation	cytoplasm///integral component of membrane///membrane///nucleus	GO:0005525///GO:0003924///GO:0046872///GO:0003674///GO:0008270	GO:0071158///GO:0045687///GO:0045666	GO:0005737///GO:0016021///GO:0016020///GO:0005634
97784_at	0.983698083226349	0.0731655450001065	-1.88746990981731	-4.28762499459418	-0.621120049270369	Aloxe3	arachidonate lipoxygenase 3	23801	11 42.38 cM	1,1-dichloro-2-(dihydroxy-4-chlorophenyl)-(4-chlorophenyl)ethene 1,2-dioxygenase activity///1,2-dihydroxy-5,6,7,8-tetrahydronaphthalene extradiol dioxygenase activity///1,2-dihydroxyfluorene 1,1-alpha-dioxygenase activity///1,2-dihydroxynaphthalene-6-sulfonate 1,8a-dioxygenase activity///2'-aminobiphenyl-2,3-diol 1,2-dioxygenase activity///2,2',3-trihydroxybiphenyl dioxygenase activity///2,3-dihydroxy DDT 1,2-dioxygenase activity///2,3-dihydroxy-ethylbenzene 1,2-dioxygenase activity///2,3-dihydroxy-p-cumate dioxygenase activity///2,3-dihydroxydiphenyl ether dioxygenase activity///2,6-dichloro-p-hydroquinone 1,2-dioxygenase activity///2-aminophenol 1,6-dioxygenase activity///2-mercaptobenzothiazole dioxygenase activity///3,4-dihydroxyfluorene 4,4-alpha-dioxygenase activity///3,4-dihydroxyphenanthrene dioxygenase activity///3,5-dichlorocatechol 1,2-dioxygenase activity///3-hydroxy-2-naphthoate 2,3-dioxygenase activity///4,5-dihydroxybenzo(a)pyrene dioxygenase activity///4,5-dihydroxypyrene dioxygenase activity///4,6-dichloro-3-methylcatechol 1,2-dioxygenase activity///4-hydroxycatechol 1,2-dioxygenase activity///5,6-dihydroxy-3-methyl-2-oxo-1,2-dihydroquinoline dioxygenase activity///5-aminosalicylate dioxygenase activity///7,8-dihydroxy benzo(a)pyrene dioxygenase activity///9,10-dihydroxybenzo(a)pyrene dioxygenase activity///arachidonate 8(S)-lipoxygenase activity///benzo(a)pyrene 11,12-dioxygenase activity///benzo(a)pyrene 4,5-dioxygenase activity///benzo(a)pyrene 7,8-dioxygenase activity///benzo(a)pyrene 9,10-dioxygenase activity///carbazole 1,9a-dioxygenase activity///catalytic activity///catechol dioxygenase activity///chlorocatechol 1,2-dioxygenase activity///dihydroxydibenzothiophene dioxygenase activity///dihydroxyfluorene dioxygenase activity///dioxygenase activity///diphenyl ether 1,2-dioxygenase activity///hepoxilin A3 synthase activity///hepoxilin A3 synthase activity///hydroquinone 1,2-dioxygenase activity///iron ion binding///isomerase activity///metal ion binding///oxidoreductase activity///oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen///p-cumate 2,3-dioxygenase activity///phenanthrene dioxygenase activity///phenanthrene-4-carboxylate dioxygenase activity///protocatechuate 3,4-dioxygenase type II activity///pyrene dioxygenase activity///pyridine-3,4-diol dioxygenase activity///styrene dioxygenase activity///tetrachlorobenzene dioxygenase activity	arachidonic acid metabolic process///arachidonic acid metabolic process///ceramide biosynthetic process///NOT epidermis development///establishment of skin barrier///fat cell differentiation///fatty acid metabolic process///hepoxilin biosynthetic process///hepoxilin biosynthetic process///hepoxilin biosynthetic process///linoleic acid metabolic process///linoleic acid metabolic process///lipid metabolic process///lipoxygenase pathway///oxidation-reduction process///peroxisome proliferator activated receptor signaling pathway///sensory perception of pain///sphingolipid metabolic process///NOT tight junction assembly	cytoplasm	GO:0018559///GO:0034827///GO:0018557///GO:0018566///GO:0018561///GO:0018556///GO:0018542///GO:0018563///GO:0018571///GO:0034955///GO:0018574///GO:0018573///GO:0034834///GO:0018562///GO:0018568///GO:0018572///GO:0034803///GO:0034810///GO:0034922///GO:0034936///GO:0047074///GO:0018558///GO:0034543///GO:0034814///GO:0034812///GO:0036403///GO:0034806///GO:0034808///GO:0034813///GO:0034811///GO:0018564///GO:0003824///GO:0019114///GO:0018575///GO:0018565///GO:0019117///GO:0051213///GO:0034956///GO:0051120///GO:0051120///GO:0018569///GO:0005506///GO:0016853///GO:0046872///GO:0016491///GO:0016702///GO:0018570///GO:0018555///GO:0034934///GO:0018560///GO:0034920///GO:0034895///GO:0018567///GO:0034935	GO:0019369///GO:0019369///GO:0046513///NOT GO:0008544///GO:0061436///GO:0045444///GO:0006631///GO:0051122///GO:0051122///GO:0051122///GO:0043651///GO:0043651///GO:0006629///GO:0019372///GO:0055114///GO:0035357///GO:0019233///GO:0006665///NOT GO:0070830	GO:0005737
160753_at	0.983698083226349	0.079085637674986	-1.84682187218406	-4.30570370333378	-1.820734840118	Myh3	myosin, heavy polypeptide 3, skeletal muscle, embryonic	17883	11 40.59 cM	ATP binding///actin binding///actin filament binding///calmodulin binding///microfilament motor activity///motor activity///nucleotide binding	ATP catabolic process///skeletal muscle contraction	contractile fiber///cytoplasm///extracellular vesicular exosome///myosin complex///myosin filament	GO:0005524///GO:0003779///GO:0051015///GO:0005516///GO:0000146///GO:0003774///GO:0000166	GO:0006200///GO:0003009	GO:0043292///GO:0005737///GO:0070062///GO:0016459///GO:0032982
98925_at	0.983698083226349	0.11671672904423	-1.63696356185228	-4.3956130892857	-0.530603628801371	Vamp2	vesicle-associated membrane protein 2	22318	11	SNAP receptor activity///SNARE binding///SNARE binding///calcium-dependent protein binding///calmodulin binding///identical protein binding///myosin binding///phospholipid binding///protein C-terminus binding///protein binding///protein complex binding///syntaxin binding///syntaxin-1 binding	Golgi to plasma membrane protein transport///calcium ion-dependent exocytosis///calcium ion-dependent exocytosis///cellular response to insulin stimulus///long-term synaptic potentiation///membrane fusion///positive regulation of intracellular protein transport///protein complex assembly///protein transport///regulation of exocytosis///regulation of exocytosis///regulation of vesicle-mediated transport///response to glucose///synaptic vesicle exocytosis///vesicle fusion///vesicle-mediated transport	SNARE complex///cell///cell junction///clathrin-coated vesicle///cytoplasmic vesicle///extracellular vesicular exosome///integral component of membrane///intracellular///intracellular membrane-bounded organelle///intracellular organelle///membrane///neuron projection///neuron projection terminus///perinuclear region of cytoplasm///plasma membrane///plasma membrane///secretory granule///secretory granule///synapse///synaptic vesicle///synaptic vesicle///synaptic vesicle membrane///synaptobrevin 2-SNAP-25-syntaxin-1a complex///synaptobrevin 2-SNAP-25-syntaxin-1a complex///synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex///synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex///trans-Golgi network///zymogen granule membrane	GO:0005484///GO:0000149///GO:0000149///GO:0048306///GO:0005516///GO:0042802///GO:0017022///GO:0005543///GO:0008022///GO:0005515///GO:0032403///GO:0019905///GO:0017075	GO:0043001///GO:0017156///GO:0017156///GO:0032869///GO:0060291///GO:0061025///GO:0090316///GO:0006461///GO:0015031///GO:0017157///GO:0017157///GO:0060627///GO:0009749///GO:0016079///GO:0006906///GO:0016192	GO:0031201///GO:0005623///GO:0030054///GO:0030136///GO:0031410///GO:0070062///GO:0016021///GO:0005622///GO:0043231///GO:0043229///GO:0016020///GO:0043005///GO:0044306///GO:0048471///GO:0005886///GO:0005886///GO:0030141///GO:0030141///GO:0045202///GO:0008021///GO:0008021///GO:0030672///GO:0070044///GO:0070044///GO:0070032///GO:0070033///GO:0005802///GO:0042589
162374_r_at	0.983698083226349	0.119973269842913	-1.62166564029312	-4.40192041367896	-0.647865717647748	Myh8	myosin, heavy polypeptide 8, skeletal muscle, perinatal	17885	11 40.59 cM	ATP binding///ATPase activity///actin binding///microfilament motor activity///motor activity///nucleotide binding///protein binding	ATP catabolic process///muscle filament sliding///skeletal muscle contraction	cytoplasm///myosin complex///myosin filament	GO:0005524///GO:0016887///GO:0003779///GO:0000146///GO:0003774///GO:0000166///GO:0005515	GO:0006200///GO:0030049///GO:0003009	GO:0005737///GO:0016459///GO:0032982
