"ID (num probes:45101)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1457170_at"	0.99976748230676	0.0297267077963993	2.17374733094113	-4.58752268911731	3.39574112187864	"Lrrc36"	"leucine rich repeat containing 36"	"270091"	"8"	"molecular_function"	"biological_process"	"cellular_component"	"GO:0003674"	"GO:0008150"	"GO:0005575"
"1426224_x_at"	0.99976748230676	0.0817232223066157	1.7407933242315	-4.59098101203568	2.71939769247488	"Cmtm2a"	"CKLF-like MARVEL transmembrane domain containing 2A"	"73381"	"8"	"cytokine activity///protein binding///transcription corepressor activity"	"chemotaxis///negative regulation of transcription, DNA-templated///regulation of testosterone biosynthetic process"	"cytoplasm///extracellular space///integral component of membrane///membrane///nucleus"	"GO:0005125///GO:0005515///GO:0003714"	"GO:0006935///GO:0045892///GO:2000224"	"GO:0005737///GO:0005615///GO:0016021///GO:0016020///GO:0005634"
"1416761_at"	0.99976748230676	0.0867174492077573	1.71299199234085	-4.5911769433776	2.67596756395888	"Hsd11b2"	"hydroxysteroid 11-beta dehydrogenase 2"	"15484"	"8 53.04 cM"	"(R)-(-)-1,2,3,4-tetrahydronaphthol dehydrogenase activity///(R)-2-hydroxyglutarate dehydrogenase activity///(R)-2-hydroxyisocaproate dehydrogenase activity///11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity///2-hydroxytetrahydrofuran dehydrogenase activity///3-hydroxymenthone dehydrogenase activity///3-ketoglucose-reductase activity///5-exo-hydroxycamphor dehydrogenase activity///C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity///D-arabinitol dehydrogenase, D-ribulose forming (NADP+) activity///D-arabinitol dehydrogenase, D-xylulose forming (NADP+) activity///D-xylose:NADP reductase activity///L-arabinose 1-dehydrogenase (NADP+) activity///L-arabinose:NADP reductase activity///L-xylulose reductase (NAD+) activity///NAD binding///acetoin dehydrogenase activity///aldo-keto reductase (NADP) activity///dihydrotestosterone 17-beta-dehydrogenase activity///epoxide dehydrogenase activity///gluconate dehydrogenase activity///isocitrate dehydrogenase activity///mevaldate reductase activity///oxidoreductase activity///phenylcoumaran benzylic ether reductase activity///steroid binding///steroid dehydrogenase activity///steroid dehydrogenase activity, acting on the CH-CH group of donors///steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///very long-chain-3-hydroxyacyl-CoA dehydrogenase activity"	"glucocorticoid metabolic process///metabolic process///oxidation-reduction process///regulation of blood volume by renal aldosterone"	"cytoplasm///endoplasmic reticulum///intracellular membrane-bounded organelle"	"GO:0034831///GO:0051990///GO:0043713///GO:0003845///GO:0018453///GO:0034840///GO:0048258///GO:0018452///GO:0000252///GO:0033709///GO:0052677///GO:0032866///GO:0044103///GO:0032867///GO:0044105///GO:0051287///GO:0019152///GO:0004033///GO:0035410///GO:0018451///GO:0008875///GO:0004448///GO:0004495///GO:0016491///GO:0032442///GO:0005496///GO:0016229///GO:0033765///GO:0033764///GO:0035380"	"GO:0008211///GO:0008152///GO:0055114///GO:0002017"	"GO:0005737///GO:0005783///GO:0043231"
"1424245_at"	0.99976748230676	0.126754560367745	1.52704004439121	-4.59240634281038	2.38548086968764	"Ces2d-ps///Ces2c"	"carboxylesterase 2D, pseudogene///carboxylesterase 2C"	"667754///234671"	"8///8"	"acylcarnitine hydrolase activity///carboxylic ester hydrolase activity///hydrolase activity"	"response to acid chemical"	"endoplasmic reticulum///intracellular membrane-bounded organelle"	"GO:0047619///GO:0052689///GO:0016787"	"GO:0001101"	"GO:0005783///GO:0043231"
"1431763_a_at"	0.99976748230676	0.148974349964835	1.44317607504872	-4.59291462680745	2.25447193167231	"Ctrl"	"chymotrypsin-like"	"109660"	"8 53.06 cM"	"hydrolase activity///peptidase activity///serine-type peptidase activity"	"proteolysis///proteolysis"	""	"GO:0016787///GO:0008233///GO:0008236"	"GO:0006508///GO:0006508"	""
"1432976_at"	0.99976748230676	0.201054387092892	1.2785626845162	-4.59382885491623	1.99731947817112	"Ces2f"	"carboxylesterase 2F"	"71903"	"8"	"carboxylic ester hydrolase activity///hydrolase activity"	"biological_process"	"cellular_component"	"GO:0052689///GO:0016787"	"GO:0008150"	"GO:0005575"
"1424968_at"	0.99976748230676	0.204224196004106	1.26961747791045	-4.59387536675169	1.98334563425538	"Ces2g"	"carboxylesterase 2G"	"72361"	"8"	"carboxylic ester hydrolase activity///hydrolase activity"	"biological_process"	"cellular_component"	"GO:0052689///GO:0016787"	"GO:0008150"	"GO:0005575"
"1452484_at"	0.99976748230676	0.270942647461806	-1.10090108518492	-4.59469146719476	-1.71978363486464	"Car7"	"carbonic anhydrase 7"	"12354"	"8 D1"	"carbonate dehydratase activity///lyase activity///metal ion binding///zinc ion binding"	"one-carbon metabolic process///positive regulation of cellular pH reduction///positive regulation of synaptic transmission, GABAergic///regulation of chloride transport"	"cytoplasm///cytosol"	"GO:0004089///GO:0016829///GO:0046872///GO:0008270"	"GO:0006730///GO:0032849///GO:0032230///GO:2001225"	"GO:0005737///GO:0005829"
"1451615_at"	0.99976748230676	0.359411575204771	-0.916491573722127	-4.59545059819217	-1.43170647316957	"Ces4a"	"carboxylesterase 4A"	"234677"	"8"	"1-oxa-2-oxocycloheptane lactonase activity///3,4-dihydrocoumarin hydrolase activity///Ala-tRNA(Pro) hydrolase activity///Cys-tRNA(Pro) hydrolase activity///L-ascorbate 6-phosphate lactonase activity///Ser(Gly)-tRNA(Ala) hydrolase activity///Ser-tRNA(Thr) hydrolase activity///all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity///butyrolactone hydrolase activity///carboxylic ester hydrolase activity///endosulfan lactone lactonase activity///hydrolase activity///lipase activity///mannosyl-oligosaccharide 1,3-alpha-mannosidase activity///mannosyl-oligosaccharide 1,6-alpha-mannosidase activity///methyl indole-3-acetate esterase activity///methyl jasmonate esterase activity///methyl salicylate esterase activity///phospholipase activity///prenylcysteine methylesterase activity///retinyl-palmitate esterase activity///sulfolactone hydrolase activity"	"biological_process"	"cellular_component///extracellular region"	"GO:0018731///GO:0018733///GO:0043906///GO:0043907///GO:0035460///GO:0043908///GO:0043905///GO:0047376///GO:0018734///GO:0052689///GO:0034892///GO:0016787///GO:0016298///GO:0052768///GO:0052767///GO:0080030///GO:0080032///GO:0080031///GO:0004620///GO:0010296///GO:0050253///GO:0018732"	"GO:0008150"	"GO:0005575///GO:0005576"
"1456800_a_at"	0.99976748230676	0.366773851156048	-0.902537441903641	-4.59550239290382	-1.40990788666337	"Rltpr"	"RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing"	"234695"	"8"	"protein binding"	"T cell receptor signaling pathway///establishment of protein localization///homeostasis of number of cells///positive regulation of T cell proliferation///positive regulation of interferon-gamma production///positive regulation of interferon-gamma secretion///positive regulation of interleukin-2 secretion///positive regulation of regulatory T cell differentiation///thymus development"	"F-actin capping protein complex///cell-cell junction///cytoplasm///immunological synapse///membrane"	"GO:0005515"	"GO:0050852///GO:0045184///GO:0048872///GO:0042102///GO:0032729///GO:1902715///GO:1900042///GO:0045591///GO:0048538"	"GO:0008290///GO:0005911///GO:0005737///GO:0001772///GO:0016020"
