ID (num probes:45101)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1431008_at	0.769910076994098	0.0192306805126116	2.8697100034223	-2.95411588711842	4.09818351338452	H2-Q6///LOC68395	histocompatibility 2, Q region locus 6///histocompatibility 2, Q region locus 6-like	110557///68395	17 18.66 cM///17	T cell receptor binding///TAP binding///beta-2-microglobulin binding///peptide antigen binding///peptide antigen binding///peptide binding///poly(A) RNA binding///protein heterodimerization activity///receptor binding///receptor binding	antigen processing and presentation of peptide antigen via MHC class I	Golgi apparatus///Golgi medial cisterna///MHC class I protein complex///cell surface///endoplasmic reticulum///endoplasmic reticulum exit site///extracellular vesicular exosome///integral component of membrane///membrane///plasma membrane	GO:0042608///GO:0046977///GO:0030881///GO:0042605///GO:0042605///GO:0042277///GO:0044822///GO:0046982///GO:0005102///GO:0005102	GO:0002474	GO:0005794///GO:0005797///GO:0042612///GO:0009986///GO:0005783///GO:0070971///GO:0070062///GO:0016021///GO:0016020///GO:0005886
1419096_at	0.769910076994098	0.0261715860403416	2.67760646310534	-3.19496603479684	2.29441377131022	Apom	apolipoprotein M	55938	17 B2	antioxidant activity///antioxidant activity///lipid transporter activity///phospholipid binding///phospholipid binding	cholesterol efflux///cholesterol efflux///high-density lipoprotein particle assembly///high-density lipoprotein particle clearance///high-density lipoprotein particle remodeling///high-density lipoprotein particle remodeling///lipid transport///lipoprotein metabolic process///negative regulation of plasma lipoprotein particle oxidation///negative regulation of plasma lipoprotein particle oxidation///reverse cholesterol transport///transport	discoidal high-density lipoprotein particle///discoidal high-density lipoprotein particle///extracellular region///extracellular space///extracellular vesicular exosome///high-density lipoprotein particle///high-density lipoprotein particle///low-density lipoprotein particle///spherical high-density lipoprotein particle///very-low-density lipoprotein particle	GO:0016209///GO:0016209///GO:0005319///GO:0005543///GO:0005543	GO:0033344///GO:0033344///GO:0034380///GO:0034384///GO:0034375///GO:0034375///GO:0006869///GO:0042157///GO:0034445///GO:0034445///GO:0043691///GO:0006810	GO:0034365///GO:0034365///GO:0005576///GO:0005615///GO:0070062///GO:0034364///GO:0034364///GO:0034362///GO:0034366///GO:0034361
1451934_at	0.769910076994098	0.0288688313437303	2.61668192410971	-3.27183076468043	2.19664601792046	H2-D1	histocompatibility 2, D region locus 1	14964	17 18.61 cM	T cell receptor binding///TAP binding///beta-2-microglobulin binding///peptide antigen binding///peptide antigen binding///peptide binding///poly(A) RNA binding///protein binding///protein heterodimerization activity///receptor binding///receptor binding	antigen processing and presentation///antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent///antigen processing and presentation of peptide antigen via MHC class I///immune response///immune system process///positive regulation of T cell mediated cytotoxicity	Golgi apparatus///Golgi medial cisterna///MHC class I protein complex///cell surface///endoplasmic reticulum///endoplasmic reticulum exit site///external side of plasma membrane///extracellular vesicular exosome///integral component of membrane///membrane///plasma membrane	GO:0042608///GO:0046977///GO:0030881///GO:0042605///GO:0042605///GO:0042277///GO:0044822///GO:0005515///GO:0046982///GO:0005102///GO:0005102	GO:0019882///GO:0002485///GO:0002474///GO:0006955///GO:0002376///GO:0001916	GO:0005794///GO:0005797///GO:0042612///GO:0009986///GO:0005783///GO:0070971///GO:0009897///GO:0070062///GO:0016021///GO:0016020///GO:0005886
1417799_at	0.769910076994098	0.0359272275764006	2.48103460628093	-3.4434174053277	1.19305528881199	Atp6v1g2	ATPase, H+ transporting, lysosomal V1 subunit G2	66237	17 B2	ATPase activity///hydrogen-exporting ATPase activity, phosphorylative mechanism///hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances///protein binding	ATP catabolic process///hydrogen ion transmembrane transport///ion transport///proton transport///transport	integral component of synaptic vesicle membrane///vacuolar proton-transporting V-type ATPase complex	GO:0016887///GO:0008553///GO:0016820///GO:0005515	GO:0006200///GO:1902600///GO:0006811///GO:0015992///GO:0006810	GO:0030285///GO:0016471
1418302_at	0.769910076994098	0.0495744513494976	2.28139219496563	-3.69594581570376	0.742169693516795	Ppt2	palmitoyl-protein thioesterase 2	54397	17 18.19 cM	2,4,4-trimethyl-3-oxopentanoyl-CoA thioesterase activity///2-oxoglutaryl-CoA thioesterase activity///3-isopropylbut-3-enoyl-CoA thioesterase activity///CoA hydrolase activity///acyl-CoA hydrolase activity///glutaryl-CoA hydrolase activity///hydrolase activity///palmitoyl hydrolase activity///palmitoyl-(protein) hydrolase activity	cellular protein modification process///macromolecule depalmitoylation///macromolecule depalmitoylation	extracellular vesicular exosome///lysosome	GO:0034869///GO:0034843///GO:0034946///GO:0016289///GO:0047617///GO:0044466///GO:0016787///GO:0098599///GO:0008474	GO:0006464///GO:0098734///GO:0098734	GO:0070062///GO:0005764
1437367_at	0.769910076994098	0.0633614156642199	2.12871560295943	-3.88778222515922	1.83280267649275	Ddx39b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B	53817	17 18.6 cM	ATP binding///ATP-dependent RNA helicase activity///ATP-dependent protein binding///RNA binding///RNA-dependent ATPase activity///U4 snRNA binding///U6 snRNA binding///helicase activity///hydrolase activity///nucleic acid binding///nucleotide binding///poly(A) RNA binding	ATP catabolic process///RNA secondary structure unwinding///RNA splicing///mRNA export from nucleus///mRNA processing///mRNA splicing, via spliceosome///mRNA transport///negative regulation of DNA damage checkpoint///positive regulation of DNA-templated transcription, elongation///spliceosomal complex assembly///transport///viral mRNA export from host cell nucleus	colocalizes_with U4 snRNP///colocalizes_with U6 snRNP///colocalizes_with cytoplasm///nucleus///spliceosomal complex///transcription export complex	GO:0005524///GO:0004004///GO:0043008///GO:0003723///GO:0008186///GO:0030621///GO:0017070///GO:0004386///GO:0016787///GO:0003676///GO:0000166///GO:0044822	GO:0006200///GO:0010501///GO:0008380///GO:0006406///GO:0006397///GO:0000398///GO:0051028///GO:2000002///GO:0032786///GO:0000245///GO:0006810///GO:0046784	colocalizes_with GO:0005687///colocalizes_with GO:0005688///colocalizes_with GO:0005737///GO:0005634///GO:0005681///GO:0000346
1419135_at	0.769910076994098	0.0655151165362699	-2.10785008020079	-3.91383961691341	-1.2906536918576	Ltb	lymphotoxin B	16994	17 18.59 cM	cytokine activity///tumor necrosis factor receptor binding	gene expression///immune response///lymph node development///positive regulation of interleukin-12 biosynthetic process///skin development	extracellular space///integral component of membrane///membrane///plasma membrane	GO:0005125///GO:0005164	GO:0010467///GO:0006955///GO:0048535///GO:0045084///GO:0043588	GO:0005615///GO:0016021///GO:0016020///GO:0005886
1420238_at	0.771537165551486	0.079891265763799	1.98353188768311	-4.06797184496539	2.65206028100106	Ly6g6c	lymphocyte antigen 6 complex, locus G6C	68468	17	molecular_function	biological_process	anchored component of membrane///cellular_component///membrane///plasma membrane	GO:0003674	GO:0008150	GO:0031225///GO:0005575///GO:0016020///GO:0005886
1441851_x_at	0.775073350235136	0.0835588595203352	1.95526923118299	-4.102697349153	1.51619363208672	Ly6g6c	lymphocyte antigen 6 complex, locus G6C	68468	17	molecular_function	biological_process	anchored component of membrane///cellular_component///membrane///plasma membrane	GO:0003674	GO:0008150	GO:0031225///GO:0005575///GO:0016020///GO:0005886
1425614_x_at	0.775514464538196	0.0862193902261697	-1.93549819853907	-4.12690926224893	-1.87695890791285	H2-D1	histocompatibility 2, D region locus 1	14964	17 18.61 cM	T cell receptor binding///TAP binding///beta-2-microglobulin binding///peptide antigen binding///peptide antigen binding///peptide binding///poly(A) RNA binding///protein binding///protein heterodimerization activity///receptor binding///receptor binding	antigen processing and presentation///antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent///antigen processing and presentation of peptide antigen via MHC class I///immune response///immune system process///positive regulation of T cell mediated cytotoxicity	Golgi apparatus///Golgi medial cisterna///MHC class I protein complex///cell surface///endoplasmic reticulum///endoplasmic reticulum exit site///external side of plasma membrane///extracellular vesicular exosome///integral component of membrane///membrane///plasma membrane	GO:0042608///GO:0046977///GO:0030881///GO:0042605///GO:0042605///GO:0042277///GO:0044822///GO:0005515///GO:0046982///GO:0005102///GO:0005102	GO:0019882///GO:0002485///GO:0002474///GO:0006955///GO:0002376///GO:0001916	GO:0005794///GO:0005797///GO:0042612///GO:0009986///GO:0005783///GO:0070971///GO:0009897///GO:0070062///GO:0016021///GO:0016020///GO:0005886
