"ID (num probes:22690)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1455176_a_at"	0.472922563839981	0.00177163587159094	3.54018278769655	-1.27669715198071	1.23558217910661	"Syt11"	"synaptotagmin XI"	"229521"	"3 38.96 cM"	"calcium ion binding///calcium-dependent phospholipid binding///metal ion binding///protein binding///transporter activity"	"transport"	"cell junction///cytoplasmic vesicle///integral component of membrane///integral component of plasma membrane///membrane///synapse///synaptic vesicle"	"GO:0005509///GO:0005544///GO:0046872///GO:0005515///GO:0005215"	"GO:0006810"	"GO:0030054///GO:0031410///GO:0016021///GO:0005887///GO:0016020///GO:0045202///GO:0008021"
"1415888_at"	0.999955068313293	0.0166368750905067	2.58525799728745	-2.99739536351637	0.932022616641636	"Hdgf"	"hepatoma-derived growth factor"	"15191"	"3 38.78 cM"	"DNA binding///RNA polymerase II transcription corepressor activity///growth factor activity///heparin binding///nucleotide binding///poly(A) RNA binding///protein binding///transcription corepressor binding"	"cellular process///negative regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///protein localization to nucleus///regulation of transcription, DNA-templated///transcription from RNA polymerase II promoter///transcription, DNA-templated"	"cytoplasm///extracellular space///extracellular space///nucleus///nucleus///transcriptional repressor complex"	"GO:0003677///GO:0001106///GO:0008083///GO:0008201///GO:0000166///GO:0044822///GO:0005515///GO:0001222"	"GO:0009987///GO:0000122///GO:0045944///GO:0034504///GO:0006355///GO:0006366///GO:0006351"	"GO:0005737///GO:0005615///GO:0005615///GO:0005634///GO:0005634///GO:0017053"
"1460568_at"	0.999955068313293	0.0684118149483048	1.91313993302534	-4.05512557480458	0.826422577879583	"Trim46"	"tripartite motif-containing 46"	"360213"	"3"	"metal ion binding///zinc ion binding"	"biological_process"	"cellular_component///intracellular"	"GO:0046872///GO:0008270"	"GO:0008150"	"GO:0005575///GO:0005622"
"1451797_at"	0.999955068313293	0.087910912984798	1.78323804532078	-4.23618334940412	0.757050108406432	"Smg5"	"Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)"	"229512"	"3"	"protein phosphatase 2A binding"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///regulation of dephosphorylation"	"cytoplasm///nucleus"	"GO:0051721"	"GO:0000184///GO:0035303"	"GO:0005737///GO:0005634"
"1435729_at"	0.999955068313293	0.108173921054224	1.67232404236701	-4.38353999385677	1.42988746154184	"Lamtor2"	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"	"83409"	"3"	"contributes_to guanyl-nucleotide exchange factor activity///protein binding///contributes_to protein complex scaffold"	"activation of MAPKK activity///cell growth///cellular protein localization///cellular response to amino acid stimulus///positive regulation of GTPase activity///positive regulation of TOR signaling"	"Ragulator complex///endosome///extracellular vesicular exosome///late endosome///lysosomal membrane///lysosome///membrane"	"contributes_to GO:0005085///GO:0005515///contributes_to GO:0032947"	"GO:0000186///GO:0016049///GO:0034613///GO:0071230///GO:0043547///GO:0032008"	"GO:0071986///GO:0005768///GO:0070062///GO:0005770///GO:0005765///GO:0005764///GO:0016020"
"1449390_at"	0.999955068313293	0.111493626528344	1.65586841688634	-4.40480717245562	1.58800039169034	"Gpatch4"	"G patch domain containing 4"	"66614"	"3"	"nucleic acid binding///poly(A) RNA binding"	"hematopoietic progenitor cell differentiation"	"cellular_component"	"GO:0003676///GO:0044822"	"GO:0002244"	"GO:0005575"
"1428710_at"	0.999955068313293	0.114981162984179	1.63901927681216	-4.42641948254752	0.361495612612682	"Rit1"	"Ras-like without CAAX 1"	"19769"	"3"	"GTP binding///nucleotide binding///protein binding"	"GTP catabolic process///Ras protein signal transduction///signal transduction///small GTPase mediated signal transduction"	"intracellular///membrane///plasma membrane"	"GO:0005525///GO:0000166///GO:0005515"	"GO:0006184///GO:0007265///GO:0007165///GO:0007264"	"GO:0005622///GO:0016020///GO:0005886"
"1454893_at"	0.999955068313293	0.119170606713199	1.61933689059698	-4.45145464428785	0.307073850184574	"Fam189b"	"family with sequence similarity 189, member B"	"68521"	"3"	"WW domain binding"	"biological_process"	"cellular_component///integral component of membrane///membrane"	"GO:0050699"	"GO:0008150"	"GO:0005575///GO:0016021///GO:0016020"
"1421654_a_at"	0.999955068313293	0.123840251950576	-1.59806880087146	-4.47824824525282	-3.57257207863774	"Lmna"	"lamin A"	"16905"	"3 38.84 cM"	"protein binding///structural molecule activity"	"establishment of cell polarity///establishment or maintenance of microtubule cytoskeleton polarity///muscle organ development///negative regulation of extrinsic apoptotic signaling pathway///negative regulation of release of cytochrome c from mitochondria///nuclear envelope organization///nucleus organization///positive regulation of cell aging///protein localization to nucleus///regulation of cell migration///regulation of protein localization to nucleus///sterol regulatory element binding protein import into nucleus///ventricular cardiac muscle cell development"	"cell///cytoplasm///intermediate filament///intracellular///lamin filament///nuclear envelope///nuclear envelope///nuclear matrix///nucleus///nucleus///perinuclear region of cytoplasm"	"GO:0005515///GO:0005198"	"GO:0030010///GO:0030951///GO:0007517///GO:2001237///GO:0090201///GO:0006998///GO:0006997///GO:0090343///GO:0034504///GO:0030334///GO:1900180///GO:0035105///GO:0055015"	"GO:0005623///GO:0005737///GO:0005882///GO:0005622///GO:0005638///GO:0005635///GO:0005635///GO:0016363///GO:0005634///GO:0005634///GO:0048471"
"1449264_at"	0.999955068313293	0.139035674597149	1.53318205417015	-4.5583040211297	0.751758622191081	"Syt11"	"synaptotagmin XI"	"229521"	"3 38.96 cM"	"calcium ion binding///calcium-dependent phospholipid binding///metal ion binding///protein binding///transporter activity"	"transport"	"cell junction///cytoplasmic vesicle///integral component of membrane///integral component of plasma membrane///membrane///synapse///synaptic vesicle"	"GO:0005509///GO:0005544///GO:0046872///GO:0005515///GO:0005215"	"GO:0006810"	"GO:0030054///GO:0031410///GO:0016021///GO:0005887///GO:0016020///GO:0045202///GO:0008021"
"1415727_at"	0.999955068313293	0.162084551045241	-1.44507936215519	-4.66281567018088	-0.293339389277802	"Apoa1bp"	"apolipoprotein A-I binding protein"	"246703"	"3"	"isomerase activity///metal ion binding///nucleotide binding///protein homodimerization activity"	"protein homotetramerization"	"cell body///cilium///extracellular region///extracellular space///extracellular vesicular exosome///mitochondrion"	"GO:0016853///GO:0046872///GO:0000166///GO:0042803"	"GO:0051289"	"GO:0044297///GO:0005929///GO:0005576///GO:0005615///GO:0070062///GO:0005739"
