ID (num probes:45101)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1459676_at	0.591873431699911	0.00901601239065893	3.89431352345572	-2.17933766641386	2.45689871489704	Trappc12	trafficking protein particle complex 12	217449	12	molecular_function	biological_process///transport///vesicle-mediated transport	cellular_component	GO:0003674	GO:0008150///GO:0006810///GO:0016192	GO:0005575
1418789_at	0.600034545780333	0.0177554950040786	-3.30612034144039	-2.75207975979673	-0.799726185931141	Sntg2	syntrophin, gamma 2	268534	12 B1	PDZ domain binding///actin binding		cytoplasm///cytoskeleton///membrane///plasma membrane	GO:0030165///GO:0003779		GO:0005737///GO:0005856///GO:0016020///GO:0005886
1441877_x_at	0.600034545780333	0.0224578063881134	-3.11239257039218	-2.95538332499291	-2.25397172910026	Tssc1	tumor suppressing subtransferable candidate 1	380752	12 11.26 cM	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575
1457762_at	0.600034545780333	0.0282028533077931	2.9288690376313	-3.15422996632308	1.04496671744058	Trappc12	trafficking protein particle complex 12	217449	12	molecular_function	biological_process///transport///vesicle-mediated transport	cellular_component	GO:0003674	GO:0008150///GO:0006810///GO:0016192	GO:0005575
1420600_at	0.600034545780333	0.0316033871314377	-2.83859792563362	-3.25412525805977	-0.454686249659963	Tpo	thyroid peroxidase	22018	12 13.0 cM	calcium ion binding///heme binding///iodide peroxidase activity///metal ion binding///oxidoreductase activity///peroxidase activity	embryonic hemopoiesis///hormone biosynthetic process///hydrogen peroxide catabolic process///oxidation-reduction process///response to oxidative stress///thyroid hormone generation	cell surface///extracellular space///integral component of membrane///membrane///mitochondrion///plasma membrane	GO:0005509///GO:0020037///GO:0004447///GO:0046872///GO:0016491///GO:0004601	GO:0035162///GO:0042446///GO:0042744///GO:0055114///GO:0006979///GO:0006590	GO:0009986///GO:0005615///GO:0016021///GO:0016020///GO:0005739///GO:0005886
1429100_at	0.600034545780333	0.0328074303081715	-2.80914583333298	-3.28699800338222	-0.619327523951845	Ccdc71l	coiled-coil domain containing 71 like	72123	12	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575
1419725_at	0.600034545780333	0.0339664411596139	-2.78188326112166	-3.3175457631101	-1.82979955409016	Slc26a4	solute carrier family 26, member 4	23985	12 B1	anion transmembrane transporter activity///chloride transmembrane transporter activity///iodide transmembrane transporter activity///secondary active sulfate transmembrane transporter activity///sulfate transmembrane transporter activity	anion transport///chloride transmembrane transport///chloride transport///inorganic anion transport///iodide transport///ion transmembrane transport///organ morphogenesis///regulation of pH///regulation of protein localization///sulfate transport///transmembrane transport///transport	apical plasma membrane///apical plasma membrane///brush border membrane///extracellular vesicular exosome///integral component of membrane///membrane///plasma membrane	GO:0008509///GO:0015108///GO:0015111///GO:0008271///GO:0015116	GO:0006820///GO:1902476///GO:0006821///GO:0015698///GO:0015705///GO:0034220///GO:0009887///GO:0006885///GO:0032880///GO:0008272///GO:0055085///GO:0006810	GO:0016324///GO:0016324///GO:0031526///GO:0070062///GO:0016021///GO:0016020///GO:0005886
1430640_a_at	0.600034545780333	0.0412472736758819	-2.63079405770261	-3.48879366346318	-0.824180423542987	Prkar2b	protein kinase, cAMP dependent regulatory, type II beta	19088	12 B1	cAMP binding///cAMP-dependent protein kinase inhibitor activity///cAMP-dependent protein kinase regulator activity///cAMP-dependent protein kinase regulator activity///nucleotide binding///protein binding///protein domain specific binding///protein kinase A catalytic subunit binding///ubiquitin protein ligase binding	fatty acid metabolic process///learning///negative regulation of cAMP-dependent protein kinase activity///regulation of protein kinase activity///regulation of protein kinase activity///regulation of protein phosphorylation	cAMP-dependent protein kinase complex///centrosome///ciliary base///cytoplasm///extracellular vesicular exosome///membrane///membrane raft///mitochondrial inner membrane///perinuclear region of cytoplasm///plasma membrane	GO:0030552///GO:0004862///GO:0008603///GO:0008603///GO:0000166///GO:0005515///GO:0019904///GO:0034236///GO:0031625	GO:0006631///GO:0007612///GO:2000480///GO:0045859///GO:0045859///GO:0001932	GO:0005952///GO:0005813///GO:0097546///GO:0005737///GO:0070062///GO:0016020///GO:0045121///GO:0005743///GO:0048471///GO:0005886
1440019_at	0.600034545780333	0.0442848344302317	2.57607652836061	-3.55156537094695	0.984873680276992	Cog5	component of oligomeric golgi complex 5	238123	12	molecular_function	inter-Golgi cisterna vesicle-mediated transport///intra-Golgi vesicle-mediated transport///protein transport///transport	Golgi apparatus///Golgi transport complex///cytoplasm///membrane	GO:0003674	GO:0048219///GO:0006891///GO:0015031///GO:0006810	GO:0005794///GO:0017119///GO:0005737///GO:0016020
1445806_at	0.600260574344755	0.0509518404423689	2.46888460359377	-3.67554940088419	1.99979348323375	Cog5	component of oligomeric golgi complex 5	238123	12	molecular_function	inter-Golgi cisterna vesicle-mediated transport///intra-Golgi vesicle-mediated transport///protein transport///transport	Golgi apparatus///Golgi transport complex///cytoplasm///membrane	GO:0003674	GO:0048219///GO:0006891///GO:0015031///GO:0006810	GO:0005794///GO:0017119///GO:0005737///GO:0016020
1421175_at	0.607935222133573	0.0642929082947661	2.29316700420777	-3.88114997630474	0.534787621443745	Myt1l	myelin transcription factor 1-like	17933	12 11.86 cM	DNA binding///RNA polymerase II transcription coactivator activity///metal ion binding///protein binding///retinoic acid-responsive element binding///sequence-specific DNA binding transcription factor activity///zinc ion binding	cell differentiation///multicellular organismal development///nervous system development///positive regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///transcription from RNA polymerase II promoter///transcription, DNA-templated	nucleus	GO:0003677///GO:0001105///GO:0046872///GO:0005515///GO:0044323///GO:0003700///GO:0008270	GO:0030154///GO:0007275///GO:0007399///GO:0045944///GO:0006355///GO:0006366///GO:0006351	GO:0005634
1420209_at	0.607935222133573	0.0655230972804531	-2.27894453452382	-3.89788947448239	-1.07240334616499	Dus4l	dihydrouridine synthase 4-like (S. cerevisiae)	71916	12	2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity///2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase activity///3,4-dihydroxy-3,4-dihydrofluorene dehydrogenase activity///NADPH-dependent curcumin reductase activity///NADPH-dependent dihydrocurcumin reductase activity///benzo(a)pyrene-cis-4,5-dihydrodiol dehydrogenase activity///benzo(a)pyrene-trans-11,12-dihydrodiol dehydrogenase activity///catalytic activity///cinnamate reductase activity///cis-2,3-dihydrodiol DDT dehydrogenase activity///cis-chlorobenzene dihydrodiol dehydrogenase activity///citronellyl-CoA dehydrogenase activity///enoyl-[acyl-carrier-protein] reductase activity///flavin adenine dinucleotide binding///menthone dehydrogenase activity///oxidoreductase activity///phthalate 3,4-cis-dihydrodiol dehydrogenase activity///tRNA dihydrouridine synthase activity///trans-1,2-dihydrodiolphenanthrene dehydrogenase activity///trans-9R,10R-dihydrodiolphenanthrene dehydrogenase activity	oxidation-reduction process///tRNA processing	cellular_component	GO:0018498///GO:0018502///GO:0034790///GO:0052849///GO:0052850///GO:0034809///GO:0034805///GO:0003824///GO:0043786///GO:0018499///GO:0018501///GO:0034824///GO:0016631///GO:0050660///GO:0034838///GO:0016491///GO:0034912///GO:0017150///GO:0018503///GO:0018500	GO:0055114///GO:0008033	GO:0005575
1438664_at	0.609936179281553	0.0729878619006793	-2.19822394179176	-3.9930873575077	-0.404184503237024	Prkar2b	protein kinase, cAMP dependent regulatory, type II beta	19088	12 B1	cAMP binding///cAMP-dependent protein kinase inhibitor activity///cAMP-dependent protein kinase regulator activity///cAMP-dependent protein kinase regulator activity///nucleotide binding///protein binding///protein domain specific binding///protein kinase A catalytic subunit binding///ubiquitin protein ligase binding	fatty acid metabolic process///learning///negative regulation of cAMP-dependent protein kinase activity///regulation of protein kinase activity///regulation of protein kinase activity///regulation of protein phosphorylation	cAMP-dependent protein kinase complex///centrosome///ciliary base///cytoplasm///extracellular vesicular exosome///membrane///membrane raft///mitochondrial inner membrane///perinuclear region of cytoplasm///plasma membrane	GO:0030552///GO:0004862///GO:0008603///GO:0008603///GO:0000166///GO:0005515///GO:0019904///GO:0034236///GO:0031625	GO:0006631///GO:0007612///GO:2000480///GO:0045859///GO:0045859///GO:0001932	GO:0005952///GO:0005813///GO:0097546///GO:0005737///GO:0070062///GO:0016020///GO:0045121///GO:0005743///GO:0048471///GO:0005886
1421122_at	0.615965508028766	0.0834431189693983	-2.09855600328025	-4.11091487470296	-0.556211332010864	Cbll1	Casitas B-lineage lymphoma-like 1	104836	12	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity///coenzyme F420-0 gamma-glutamyl ligase activity///coenzyme F420-2 alpha-glutamyl ligase activity///identical protein binding///ligase activity///metal ion binding///protein binding///protein-glutamic acid ligase activity///protein-glycine ligase activity///protein-glycine ligase activity, elongating///protein-glycine ligase activity, initiating///ribosomal S6-glutamic acid ligase activity///tubulin-glutamic acid ligase activity///tubulin-glycine ligase activity///ubiquitin-protein transferase activity///zinc ion binding	negative regulation of cell adhesion///positive regulation of cell migration///positive regulation of endocytosis///protein ubiquitination///single organismal cell-cell adhesion	cellular_component	GO:0008766///GO:0043773///GO:0043774///GO:0042802///GO:0016874///GO:0046872///GO:0005515///GO:0070739///GO:0070735///GO:0070737///GO:0070736///GO:0018169///GO:0070740///GO:0070738///GO:0004842///GO:0008270	GO:0007162///GO:0030335///GO:0045807///GO:0016567///GO:0016337	GO:0005575
1439147_at	0.616565310984724	0.0843877228255732	-2.090196319286	-4.12080337123736	-1.50692003958622	Cdhr3	cadherin-related family member 3	68764	12	calcium ion binding	biological_process///cell adhesion///homophilic cell adhesion via plasma membrane adhesion molecules	integral component of membrane///membrane///plasma membrane	GO:0005509	GO:0008150///GO:0007155///GO:0007156	GO:0016021///GO:0016020///GO:0005886
1445158_at	0.62168927699718	0.0877617684329311	2.06110377322305	-4.15521513735868	0.664200366854088	Sypl	synaptophysin-like protein	19027	12 13.87 cM	transporter activity	transport	cytoplasmic vesicle///extracellular vesicular exosome///integral component of membrane///integral component of synaptic vesicle membrane///membrane///secretory granule///synaptic vesicle	GO:0005215	GO:0006810	GO:0031410///GO:0070062///GO:0016021///GO:0030285///GO:0016020///GO:0030141///GO:0008021
