ID (num probes:45101)	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID
1449145_a_at	2.64758099533444e-07	5.87033767618111e-12	-57.2643038586866	9.95764064602867	-5.19330094989122	Cav1	caveolin 1, caveolae protein	12389	6 A2	SNARE binding///enzyme binding///kinase binding///nitric-oxide synthase binding///peptidase activator activity///protein binding///receptor binding///structural molecule activity///syntaxin binding	MAPK cascade///T cell costimulation///angiogenesis///apoptotic signaling pathway///calcium ion homeostasis///calcium ion transport///caveola assembly///caveola assembly///caveolin-mediated endocytosis///cellular calcium ion homeostasis///cellular calcium ion homeostasis///cellular response to hyperoxia///cellular response to mechanical stimulus///cholesterol efflux///cholesterol homeostasis///cytosolic calcium ion homeostasis///endocytosis///inactivation of MAPK activity///lactation///lipid storage///maintenance of protein location in cell///mammary gland development///mammary gland involution///membrane depolarization///microtubule polymerization///negative regulation of BMP signaling pathway///negative regulation of ERK1 and ERK2 cascade///negative regulation of JAK-STAT cascade///negative regulation of JAK-STAT cascade///negative regulation of JAK-STAT cascade///negative regulation of MAP kinase activity///negative regulation of MAPK cascade///negative regulation of anoikis///negative regulation of anoikis///negative regulation of canonical Wnt signaling pathway///negative regulation of cation channel activity///negative regulation of cell proliferation///negative regulation of cytokine-mediated signaling pathway///negative regulation of endothelial cell proliferation///negative regulation of endothelial cell proliferation///negative regulation of epithelial cell differentiation///negative regulation of muscle cell apoptotic process///negative regulation of neuron differentiation///negative regulation of nitric oxide biosynthetic process///negative regulation of nitric-oxide synthase activity///negative regulation of peptidyl-serine phosphorylation///negative regulation of pinocytosis///negative regulation of protein binding///negative regulation of protein ubiquitination///negative regulation of protein ubiquitination///negative regulation of signal transduction///negative regulation of smooth muscle cell proliferation///negative regulation of transcription from RNA polymerase II promoter///negative regulation of tyrosine phosphorylation of Stat5 protein///negative regulation of tyrosine phosphorylation of Stat5 protein///nitric oxide homeostasis///positive regulation of calcium ion transport into cytosol///positive regulation of canonical Wnt signaling pathway///positive regulation of endocytosis///positive regulation of endothelial cell proliferation///positive regulation of extrinsic apoptotic signaling pathway///positive regulation of intrinsic apoptotic signaling pathway///positive regulation of metalloenzyme activity///positive regulation of microtubule polymerization///positive regulation of peptidase activity///positive regulation of peptidyl-serine phosphorylation///positive regulation of signal transduction///positive regulation of vasoconstriction///positive regulation of vasoconstriction///protein homooligomerization///protein localization///protein oligomerization///receptor internalization involved in canonical Wnt signaling pathway///regulation of blood coagulation///regulation of fatty acid metabolic process///regulation of peptidase activity///regulation of smooth muscle contraction///regulation of the force of heart contraction///regulation of the force of heart contraction by chemical signal///response to calcium ion///response to estrogen///response to estrogen///response to hypoxia///response to ischemia///response to mechanical stimulus///response to progesterone///skeletal muscle tissue development///triglyceride metabolic process///vasculogenesis///vasoconstriction///vesicle organization	Golgi apparatus///Golgi apparatus///Golgi membrane///acrosomal membrane///apical plasma membrane///basal plasma membrane///basolateral plasma membrane///caveola///caveola///caveola///cell///cell cortex///cell surface///cilium///cytoplasm///cytoplasmic vesicle///cytosol///endoplasmic reticulum///endoplasmic reticulum///endosome///focal adhesion///integral component of membrane///integral component of plasma membrane///intracellular///intracellular///lipid particle///membrane///membrane raft///membrane raft///mitochondrion///perinuclear region of cytoplasm///perinuclear region of cytoplasm///peroxisomal membrane///plasma membrane///plasma membrane///protein complex///protein complex	GO:0000149///GO:0019899///GO:0019900///GO:0050998///GO:0016504///GO:0005515///GO:0005102///GO:0005198///GO:0019905	GO:0000165///GO:0031295///GO:0001525///GO:0097190///GO:0055074///GO:0006816///GO:0070836///GO:0070836///GO:0072584///GO:0006874///GO:0006874///GO:0071455///GO:0071260///GO:0033344///GO:0042632///GO:0051480///GO:0006897///GO:0000188///GO:0007595///GO:0019915///GO:0032507///GO:0030879///GO:0060056///GO:0051899///GO:0046785///GO:0030514///GO:0070373///GO:0046426///GO:0046426///GO:0046426///GO:0043407///GO:0043409///GO:2000811///GO:2000811///GO:0090090///GO:2001258///GO:0008285///GO:0001960///GO:0001937///GO:0001937///GO:0030857///GO:0010656///GO:0045665///GO:0045019///GO:0051001///GO:0033137///GO:0048550///GO:0032091///GO:0031397///GO:0031397///GO:0009968///GO:0048662///GO:0000122///GO:0042524///GO:0042524///GO:0033484///GO:0010524///GO:0090263///GO:0045807///GO:0001938///GO:2001238///GO:2001244///GO:0048554///GO:0031116///GO:0010952///GO:0033138///GO:0009967///GO:0045907///GO:0045907///GO:0051260///GO:0008104///GO:0051259///GO:2000286///GO:0030193///GO:0019217///GO:0052547///GO:0006940///GO:0002026///GO:0003057///GO:0051592///GO:0043627///GO:0043627///GO:0001666///GO:0002931///GO:0009612///GO:0032570///GO:0007519///GO:0006641///GO:0001570///GO:0042310///GO:0016050	GO:0005794///GO:0005794///GO:0000139///GO:0002080///GO:0016324///GO:0009925///GO:0016323///GO:0005901///GO:0005901///GO:0005901///GO:0005623///GO:0005938///GO:0009986///GO:0005929///GO:0005737///GO:0031410///GO:0005829///GO:0005783///GO:0005783///GO:0005768///GO:0005925///GO:0016021///GO:0005887///GO:0005622///GO:0005622///GO:0005811///GO:0016020///GO:0045121///GO:0045121///GO:0005739///GO:0048471///GO:0048471///GO:0005778///GO:0005886///GO:0005886///GO:0043234///GO:0043234
1434447_at	0.00199548144294654	2.75859225229212e-07	15.177949296852	6.55854177330386	1.16111755657129	Met	met proto-oncogene	17295	6 7.83 cM	ATP binding///beta-catenin binding///hepatocyte growth factor-activated receptor activity///hepatocyte growth factor-activated receptor activity///kinase activity///nucleotide binding///phosphatidylinositol 3-kinase binding///phospholipase binding///protein binding///protein complex binding///protein heterodimerization activity///protein kinase activity///protein phosphatase binding///protein tyrosine kinase activity///receptor activity///transferase activity///transferase activity, transferring phosphorus-containing groups///transmembrane receptor protein tyrosine kinase activity	activation of MAPK activity///adult behavior///brain development///branching morphogenesis of an epithelial tube///endothelial cell morphogenesis///glucose homeostasis///hepatocyte growth factor receptor signaling pathway///hepatocyte growth factor receptor signaling pathway///liver development///multicellular organismal development///muscle cell migration///muscle organ development///muscle organ development///myoblast proliferation///myotube differentiation///negative regulation of hydrogen peroxide-mediated programmed cell death///negative regulation of peptidyl-threonine phosphorylation///negative regulation of transcription from RNA polymerase II promoter///neuron migration///peptidyl-tyrosine phosphorylation///peptidyl-tyrosine phosphorylation///phosphorylation///placenta development///positive chemotaxis///positive chemotaxis///positive regulation of DNA replication///positive regulation of dendrite morphogenesis///positive regulation of endothelial cell chemotaxis///positive regulation of gene expression///positive regulation of glucose transport///positive regulation of mitosis///positive regulation of neuron projection development///positive regulation of peptidyl-serine phosphorylation///positive regulation of peptidyl-threonine phosphorylation///positive regulation of transcription from RNA polymerase II promoter///protein autophosphorylation///protein autophosphorylation///protein phosphorylation///regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling///regulation of excitatory postsynaptic membrane potential///regulation of synaptic transmission///semaphorin-plexin signaling pathway///semaphorin-plexin signaling pathway///skeletal muscle tissue development///sperm motility///transmembrane receptor protein tyrosine kinase signaling pathway	basal plasma membrane///cell surface///cytoplasm///dendrite///excitatory synapse///extracellular space///integral component of membrane///membrane///neuron projection///neuronal cell body///plasma membrane///postsynaptic density///postsynaptic membrane///sperm flagellum	GO:0005524///GO:0008013///GO:0005008///GO:0005008///GO:0016301///GO:0000166///GO:0043548///GO:0043274///GO:0005515///GO:0032403///GO:0046982///GO:0004672///GO:0019903///GO:0004713///GO:0004872///GO:0016740///GO:0016772///GO:0004714	GO:0000187///GO:0030534///GO:0007420///GO:0048754///GO:0001886///GO:0042593///GO:0048012///GO:0048012///GO:0001889///GO:0007275///GO:0014812///GO:0007517///GO:0007517///GO:0051450///GO:0014902///GO:1901299///GO:0010801///GO:0000122///GO:0001764///GO:0018108///GO:0018108///GO:0016310///GO:0001890///GO:0050918///GO:0050918///GO:0045740///GO:0050775///GO:2001028///GO:0010628///GO:0010828///GO:0045840///GO:0010976///GO:0033138///GO:0010800///GO:0045944///GO:0046777///GO:0046777///GO:0006468///GO:0060665///GO:0060079///GO:0050804///GO:0071526///GO:0071526///GO:0007519///GO:0030317///GO:0007169	GO:0009925///GO:0009986///GO:0005737///GO:0030425///GO:0060076///GO:0005615///GO:0016021///GO:0016020///GO:0043005///GO:0043025///GO:0005886///GO:0014069///GO:0045211///GO:0036126
1424246_a_at	0.0185369550223686	3.17049705499118e-05	8.20399086947018	2.89885961072892	1.24171067957477	Tes	testis derived transcript	21753	6 7.67 cM	metal ion binding///poly(A) RNA binding///zinc ion binding	negative regulation of cell proliferation///regulation of cell proliferation	cell junction///cytoplasm///focal adhesion///nucleus///protein complex	GO:0046872///GO:0044822///GO:0008270	GO:0008285///GO:0042127	GO:0030054///GO:0005737///GO:0005925///GO:0005634///GO:0043234
1417327_at	0.0265580185486729	7.47847798426078e-05	7.2940049297395	2.12067119266873	0.5256817748714	Cav2	caveolin 2	12390	6 A2	D1 dopamine receptor binding///D1 dopamine receptor binding///SNARE binding///phosphoprotein binding///protein homodimerization activity///syntaxin binding	caveola assembly///caveola assembly///endocytosis///endoplasmic reticulum organization///mitochondrion organization///negative regulation of cell proliferation///negative regulation of endothelial cell proliferation///negative regulation of endothelial cell proliferation///negative regulation of transforming growth factor beta receptor signaling pathway///positive regulation of dopamine receptor signaling pathway///positive regulation of dopamine receptor signaling pathway///positive regulation of endothelial cell proliferation///protein oligomerization///skeletal muscle fiber development///synaptic transmission///vesicle docking///vesicle docking///vesicle fusion///vesicle fusion///vesicle organization	Golgi apparatus///acrosomal membrane///caveola///caveola///cell surface///cytoplasm///cytoplasmic vesicle///cytosol///endoplasmic reticulum///extrinsic component of cytoplasmic side of plasma membrane///extrinsic component of cytoplasmic side of plasma membrane///integral component of plasma membrane///intracellular///lipid particle///membrane///membrane///membrane raft///nuclear inner membrane///nucleus///perinuclear region of cytoplasm///perinuclear region of cytoplasm///plasma membrane///plasma membrane///protein complex///transport vesicle	GO:0031748///GO:0031748///GO:0000149///GO:0051219///GO:0042803///GO:0019905	GO:0070836///GO:0070836///GO:0006897///GO:0007029///GO:0007005///GO:0008285///GO:0001937///GO:0001937///GO:0030512///GO:0060161///GO:0060161///GO:0001938///GO:0051259///GO:0048741///GO:0007268///GO:0048278///GO:0048278///GO:0006906///GO:0006906///GO:0016050	GO:0005794///GO:0002080///GO:0005901///GO:0005901///GO:0009986///GO:0005737///GO:0031410///GO:0005829///GO:0005783///GO:0031234///GO:0031234///GO:0005887///GO:0005622///GO:0005811///GO:0016020///GO:0016020///GO:0045121///GO:0005637///GO:0005634///GO:0048471///GO:0048471///GO:0005886///GO:0005886///GO:0043234///GO:0030133
1439761_x_at	0.0339364680748737	0.000114704720355539	6.87049506455646	1.72335169083273	0.982042193856612	D830026I12Rik	RIKEN cDNA D830026I12 gene	319682	6						
1427040_at	0.0734288498393199	0.000617049158313613	5.37191513496105	0.112661199637056	0.381639159298217	Mdfic	MyoD family inhibitor domain containing	16543	6	Tat protein binding///cyclin binding///protein binding///transcription factor binding	activation of JUN kinase activity///negative regulation of protein import into nucleus///negative regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated///positive regulation of viral transcription///regulation of Wnt signaling pathway///regulation of transcription, DNA-templated///transcription, DNA-templated	Golgi apparatus///cytoplasm///cytoplasm///nucleolus///nucleus///nucleus	GO:0030957///GO:0030332///GO:0005515///GO:0008134	GO:0007257///GO:0042308///GO:0045892///GO:0045893///GO:0050434///GO:0030111///GO:0006355///GO:0006351	GO:0005794///GO:0005737///GO:0005737///GO:0005730///GO:0005634///GO:0005634
1460378_a_at	0.0973779826240448	0.0010558597375649	4.94209078983133	-0.413648860781465	0.707524268231547	Tes	testis derived transcript	21753	6 7.67 cM	metal ion binding///poly(A) RNA binding///zinc ion binding	negative regulation of cell proliferation///regulation of cell proliferation	cell junction///cytoplasm///focal adhesion///nucleus///protein complex	GO:0046872///GO:0044822///GO:0008270	GO:0008285///GO:0042127	GO:0030054///GO:0005737///GO:0005925///GO:0005634///GO:0043234
1435435_at	0.195017399852607	0.00495349564430759	3.80812443649628	-1.94486180193129	0.266486065615264	Cttnbp2	cortactin binding protein 2	30785	6	SH3 domain binding///cytoskeletal regulatory protein binding	actin cytoskeleton organization	actin cytoskeleton///cell projection///cytoplasm///synaptic vesicle	GO:0017124///GO:0005519	GO:0030036	GO:0015629///GO:0042995///GO:0005737///GO:0008021
1441365_at	0.204276956010043	0.00551671431720432	3.73388723129571	-2.05188955586155	0.258723586962154	Foxp2	forkhead box P2	114142	6 A2	DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription///metal ion binding///protein binding///protein heterodimerization activity///protein homodimerization activity///sequence-specific DNA binding///sequence-specific DNA binding transcription factor activity	camera-type eye development///cerebellum development///embryo development///growth///lung alveolus development///lung development///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription, DNA-templated///positive regulation of epithelial cell proliferation///positive regulation of epithelial cell proliferation involved in lung morphogenesis///positive regulation of mesenchymal cell proliferation///post-embryonic development///regulation of transcription, DNA-templated///righting reflex///skeletal muscle tissue development///smooth muscle tissue development///transcription from RNA polymerase II promoter///transcription, DNA-templated///vocal learning	nucleus	GO:0003677///GO:0000978///GO:0001078///GO:0046872///GO:0005515///GO:0046982///GO:0042803///GO:0043565///GO:0003700	GO:0043010///GO:0021549///GO:0009790///GO:0040007///GO:0048286///GO:0030324///GO:0000122///GO:0000122///GO:0045892///GO:0050679///GO:0060501///GO:0002053///GO:0009791///GO:0006355///GO:0060013///GO:0007519///GO:0048745///GO:0006366///GO:0006351///GO:0042297	GO:0005634
1440649_at	0.214666245009878	0.0062956929380975	-3.64354030070057	-2.18313123510686	-0.237595908078767	Gm4876	predicted gene 4876	232599	6						
