"ID (num probes:45101)"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"	"Chromosome.location"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"
"1452608_at"	0.99999304487402	0.022803417010101	-2.89029409587667	-3.64143168902362	-0.6477807935	"Mycbp"	"c-myc binding protein"	"56309"	"4"	"transcription coactivator activity"	"regulation of transcription, DNA-templated///transcription, DNA-templated"	"centrosome///cytoplasm///nucleus"	"GO:0003713"	"GO:0006355///GO:0006351"	"GO:0005813///GO:0005737///GO:0005634"
"1458476_at"	0.99999304487402	0.0238512953944276	2.85920102078699	-3.65683748705266	0.602847540499999	"Ago3"	"argonaute RISC catalytic subunit 3"	"214150"	"4"	"RNA binding///nucleic acid binding///poly(A) RNA binding"	"gene silencing by RNA///mRNA catabolic process///negative regulation of translation involved in gene silencing by miRNA///regulation of stem cell proliferation///regulation of translation"	"cytoplasm///membrane///micro-ribonucleoprotein complex///ribonucleoprotein complex"	"GO:0003723///GO:0003676///GO:0044822"	"GO:0031047///GO:0006402///GO:0035278///GO:0072091///GO:0006417"	"GO:0005737///GO:0016020///GO:0035068///GO:0030529"
"1420779_at"	0.99999304487402	0.0366925617766162	-2.56432140155825	-3.80933720100052	-0.252853615999999	"Fhl3"	"four and a half LIM domains 3"	"14201"	"4 D1"	"actin binding///metal ion binding///protein binding///zinc ion binding"	"actin cytoskeleton organization"	"Z disc///focal adhesion///nucleus///stress fiber"	"GO:0003779///GO:0046872///GO:0005515///GO:0008270"	"GO:0030036"	"GO:0030018///GO:0005925///GO:0005634///GO:0001725"
"1434667_at"	0.99999304487402	0.0446262772764822	2.43183422299877	-3.88137635369146	0.2720383935	"Col8a2"	"collagen, type VIII, alpha 2"	"329941"	"4 60.29 cM"	""	"angiogenesis///camera-type eye morphogenesis///cell adhesion///epithelial cell proliferation"	"basement membrane///collagen trimer///colocalizes_with extracellular matrix///extracellular region///proteinaceous extracellular matrix"	""	"GO:0001525///GO:0048593///GO:0007155///GO:0050673"	"GO:0005604///GO:0005581///colocalizes_with GO:0031012///GO:0005576///GO:0005578"
"1453162_at"	0.99999304487402	0.0519890048132821	2.32891487317406	-3.938672713676	0.565933005500002	"Utp11l"	"UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)"	"67205"	"4 D1"	"poly(A) RNA binding"	"nervous system development///positive regulation of apoptotic process///rRNA processing///ribosomal small subunit biogenesis"	"cytoplasm///extracellular space///nucleolus///nucleolus///nucleus///small-subunit processome"	"GO:0044822"	"GO:0007399///GO:0043065///GO:0006364///GO:0042274"	"GO:0005737///GO:0005615///GO:0005730///GO:0005730///GO:0005634///GO:0032040"
"1441063_at"	0.99999304487402	0.0923907946801764	-1.9423567462493	-4.16177966190105	-0.3462933625	"Ago3"	"argonaute RISC catalytic subunit 3"	"214150"	"4"	"RNA binding///nucleic acid binding///poly(A) RNA binding"	"gene silencing by RNA///mRNA catabolic process///negative regulation of translation involved in gene silencing by miRNA///regulation of stem cell proliferation///regulation of translation"	"cytoplasm///membrane///micro-ribonucleoprotein complex///ribonucleoprotein complex"	"GO:0003723///GO:0003676///GO:0044822"	"GO:0031047///GO:0006402///GO:0035278///GO:0072091///GO:0006417"	"GO:0005737///GO:0016020///GO:0035068///GO:0030529"
"1427938_at"	0.99999304487402	0.104551662971056	-1.85886936414918	-4.21096204155852	-0.883760506500001	"Mycbp"	"c-myc binding protein"	"56309"	"4"	"transcription coactivator activity"	"regulation of transcription, DNA-templated///transcription, DNA-templated"	"centrosome///cytoplasm///nucleus"	"GO:0003713"	"GO:0006355///GO:0006351"	"GO:0005813///GO:0005737///GO:0005634"
"1426699_at"	0.99999304487402	0.151454751746351	-1.60603604940666	-4.35972695137241	-0.3036026635	"AU040320"	"expressed sequence AU040320"	"100317"	"4"	"molecular_function"	"biological_process"	"cytoplasmic vesicle///extracellular vesicular exosome///integral component of membrane///membrane"	"GO:0003674"	"GO:0008150"	"GO:0031410///GO:0070062///GO:0016021///GO:0016020"
"1436847_s_at"	0.99999304487402	0.153528697813292	1.59665168510129	-4.36520354576143	0.463530068	"Cdca8"	"cell division cycle associated 8"	"52276"	"4 57.93 cM"	"protein binding"	"cell cycle///cell division///chromosome organization///mitotic metaphase plate congression///mitotic nuclear division"	"chromocenter///chromosome///chromosome passenger complex///chromosome, centromeric region///cytoplasm///cytoskeleton///intercellular bridge///midbody///nucleolus///nucleus///protein complex"	"GO:0005515"	"GO:0007049///GO:0051301///GO:0051276///GO:0007080///GO:0007067"	"GO:0010369///GO:0005694///GO:0032133///GO:0000775///GO:0005737///GO:0005856///GO:0045171///GO:0030496///GO:0005730///GO:0005634///GO:0043234"
"1428847_a_at"	0.99999304487402	0.16440774646145	1.54926501246929	-4.39276544243927	0.266222170000004	"Macf1"	"microtubule-actin crosslinking factor 1"	"11426"	"4 57.42 cM"	"ATPase activity///actin binding///calcium ion binding///metal ion binding///microtubule binding///protein binding"	"ATP catabolic process///Wnt signaling pathway///Wnt signaling pathway///cell cycle arrest///cellular component movement///establishment or maintenance of cell polarity///mesoderm formation///positive regulation of Wnt signaling pathway///positive regulation of Wnt signaling pathway///posttranslational protein targeting to membrane///protein localization///regulation of epithelial cell migration///regulation of focal adhesion assembly///regulation of microtubule-based process///wound healing"	"Golgi apparatus///actin cytoskeleton///cell///cell cortex///cell projection///cytoplasm///cytoskeleton///intracellular///membrane///microtubule///microtubule cytoskeleton///plasma membrane"	"GO:0016887///GO:0003779///GO:0005509///GO:0046872///GO:0008017///GO:0005515"	"GO:0006200///GO:0016055///GO:0016055///GO:0007050///GO:0006928///GO:0007163///GO:0001707///GO:0030177///GO:0030177///GO:0006620///GO:0008104///GO:0010632///GO:0051893///GO:0032886///GO:0042060"	"GO:0005794///GO:0015629///GO:0005623///GO:0005938///GO:0042995///GO:0005737///GO:0005856///GO:0005622///GO:0016020///GO:0005874///GO:0015630///GO:0005886"
